RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678089131265	test RUN 1	3.3.1
USER	MyComputerJourney	145	START	1678089153912	1678089153912
USER	MyComputerJourney	146	START	1678089153962	1678089153962
REQUEST	32		LoadNewComputerPage	1678089153693	1678089154012	OK	 
USER	MyComputerJourney	147	START	1678089154017	1678089154017
REQUEST	31		LoadNewComputerPage	1678089153684	1678089154016	OK	 
REQUEST	34		LoadNewComputerPage	1678089153803	1678089154020	OK	 
REQUEST	35		LoadNewComputerPage	1678089153853	1678089154026	OK	 
REQUEST	33		LoadNewComputerPage	1678089153763	1678089154028	OK	 
USER	MyComputerJourney	148	START	1678089154053	1678089154053
USER	MyComputerJourney	149	START	1678089154102	1678089154102
USER	MyComputerJourney	150	START	1678089154152	1678089154152
USER	MyComputerJourney	151	START	1678089154202	1678089154202
REQUEST	129		LoadHomePage	1678089153113	1678089154216	OK	 
REQUEST	36		LoadNewComputerPage	1678089153893	1678089154215	OK	 
REQUEST	37		LoadNewComputerPage	1678089153963	1678089154218	OK	 
REQUEST	130		LoadHomePage	1678089153163	1678089154218	OK	 
REQUEST	135		LoadHomePage	1678089153415	1678089154226	OK	 
REQUEST	134		LoadHomePage	1678089153363	1678089154226	OK	 
REQUEST	133		LoadHomePage	1678089153314	1678089154230	OK	 
REQUEST	136		LoadHomePage	1678089153464	1678089154233	OK	 
REQUEST	38		LoadNewComputerPage	1678089154013	1678089154234	OK	 
REQUEST	5		CreateNewComputer	1678089154023	1678089154236	OK	 
REQUEST	39		LoadNewComputerPage	1678089154063	1678089154245	OK	 
USER	MyComputerJourney	152	START	1678089154252	1678089154252
USER	MyComputerJourney	153	START	1678089154302	1678089154302
USER	MyComputerJourney	154	START	1678089154353	1678089154353
USER	MyComputerJourney	155	START	1678089154403	1678089154403
REQUEST	139		LoadHomePage	1678089153617	1678089154421	OK	 
REQUEST	40		LoadNewComputerPage	1678089154123	1678089154428	OK	 
REQUEST	41		LoadNewComputerPage	1678089154153	1678089154432	OK	 
REQUEST	43		LoadNewComputerPage	1678089154273	1678089154433	OK	 
REQUEST	42		LoadNewComputerPage	1678089154218	1678089154444	OK	 
REQUEST	5		CreateNewComputer Redirect 1	1678089154239	1678089154446	OK	 
REQUEST	140		LoadHomePage	1678089153665	1678089154440	OK	 
REQUEST	137		LoadHomePage	1678089153514	1678089154446	OK	 
USER	MyComputerJourney	156	START	1678089154452	1678089154452
REQUEST	138		LoadHomePage	1678089153564	1678089154451	OK	 
USER	MyComputerJourney	157	START	1678089154502	1678089154502
USER	MyComputerJourney	158	START	1678089154552	1678089154552
USER	MyComputerJourney	159	START	1678089154602	1678089154602
REQUEST	45		LoadNewComputerPage	1678089154373	1678089154626	OK	 
REQUEST	44		LoadNewComputerPage	1678089154313	1678089154626	OK	 
REQUEST	46		LoadNewComputerPage	1678089154413	1678089154631	OK	 
REQUEST	144		LoadHomePage	1678089153864	1678089154635	OK	 
REQUEST	141		LoadHomePage	1678089153713	1678089154636	OK	 
REQUEST	143		LoadHomePage	1678089153814	1678089154640	OK	 
REQUEST	142		LoadHomePage	1678089153764	1678089154644	OK	 
USER	MyComputerJourney	160	START	1678089154652	1678089154652
USER	MyComputerJourney	161	START	1678089154713	1678089154713
USER	MyComputerJourney	162	START	1678089154762	1678089154762
USER	MyComputerJourney	163	START	1678089154823	1678089154823
REQUEST	48		LoadNewComputerPage	1678089154502	1678089154828	OK	 
REQUEST	50		LoadNewComputerPage	1678089154603	1678089154831	OK	 
REQUEST	146		LoadHomePage	1678089153964	1678089154837	OK	 
REQUEST	147		LoadHomePage	1678089154019	1678089154841	OK	 
REQUEST	148		LoadHomePage	1678089154055	1678089154845	OK	 
REQUEST	49		LoadNewComputerPage	1678089154594	1678089154843	OK	 
REQUEST	51		LoadNewComputerPage	1678089154663	1678089154849	OK	 
USER	MyComputerJourney	164	START	1678089154873	1678089154873
USER	MyComputerJourney	165	START	1678089154923	1678089154923
USER	MyComputerJourney	166	START	1678089154973	1678089154973
USER	MyComputerJourney	167	START	1678089155022	1678089155022
REQUEST	131		LoadHomePage	1678089153215	1678089155039	OK	 
REQUEST	152		LoadHomePage	1678089154254	1678089155039	OK	 
REQUEST	53		LoadNewComputerPage	1678089154773	1678089155039	OK	 
REQUEST	54		LoadNewComputerPage	1678089154813	1678089155043	OK	 
REQUEST	47		LoadNewComputerPage	1678089154473	1678089155043	OK	 
REQUEST	52		LoadNewComputerPage	1678089154714	1678089155044	OK	 
REQUEST	151		LoadHomePage	1678089154204	1678089155048	OK	 
REQUEST	132		LoadHomePage	1678089153265	1678089155051	OK	 
REQUEST	150		LoadHomePage	1678089154154	1678089155051	OK	 
REQUEST	149		LoadHomePage	1678089154104	1678089155052	OK	 
