RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678087454512	test	3.3.1
USER	MyComputerJourney	115	START	1678087475958	1678087475958
REQUEST	107		LoadHomePage	1678087475561	1678087475990	OK	 
USER	MyComputerJourney	116	START	1678087476009	1678087476009
REQUEST	108		LoadHomePage	1678087475610	1678087476045	OK	 
USER	MyComputerJourney	117	START	1678087476058	1678087476058
REQUEST	109		LoadHomePage	1678087475660	1678087476094	OK	 
USER	MyComputerJourney	118	START	1678087476108	1678087476108
REQUEST	110		LoadHomePage	1678087475710	1678087476137	OK	 
USER	MyComputerJourney	119	START	1678087476159	1678087476159
REQUEST	111		LoadHomePage	1678087475759	1678087476190	OK	 
USER	MyComputerJourney	120	START	1678087476209	1678087476209
REQUEST	7		LoadNewComputerPage	1678087476100	1678087476212	OK	 
REQUEST	112		LoadHomePage	1678087475810	1678087476245	OK	 
REQUEST	9		LoadNewComputerPage	1678087476139	1678087476252	OK	 
REQUEST	8		LoadNewComputerPage	1678087476139	1678087476252	OK	 
USER	MyComputerJourney	121	START	1678087476259	1678087476259
REQUEST	113		LoadHomePage	1678087475860	1678087476291	OK	 
REQUEST	10		LoadNewComputerPage	1678087476180	1678087476292	OK	 
USER	MyComputerJourney	122	START	1678087476309	1678087476309
REQUEST	11		LoadNewComputerPage	1678087476220	1678087476329	OK	 
REQUEST	114		LoadHomePage	1678087475909	1678087476340	OK	 
USER	MyComputerJourney	123	START	1678087476358	1678087476358
REQUEST	12		LoadNewComputerPage	1678087476279	1678087476388	OK	 
REQUEST	115		LoadHomePage	1678087475959	1678087476398	OK	 
USER	MyComputerJourney	124	START	1678087476409	1678087476409
REQUEST	116		LoadHomePage	1678087476009	1678087476449	OK	 
USER	MyComputerJourney	125	START	1678087476458	1678087476458
REQUEST	13		LoadNewComputerPage	1678087476369	1678087476489	OK	 
REQUEST	14		LoadNewComputerPage	1678087476379	1678087476489	OK	 
REQUEST	117		LoadHomePage	1678087476060	1678087476501	OK	 
USER	MyComputerJourney	126	START	1678087476509	1678087476509
USER	MyComputerJourney	127	START	1678087476558	1678087476558
REQUEST	118		LoadHomePage	1678087476111	1678087476561	OK	 
REQUEST	16		LoadNewComputerPage	1678087476469	1678087476575	OK	 
REQUEST	15		LoadNewComputerPage	1678087476469	1678087476586	OK	 
REQUEST	119		LoadHomePage	1678087476161	1678087476590	OK	 
USER	MyComputerJourney	128	START	1678087476608	1678087476608
REQUEST	17		LoadNewComputerPage	1678087476518	1678087476626	OK	 
REQUEST	120		LoadHomePage	1678087476211	1678087476645	OK	 
USER	MyComputerJourney	129	START	1678087476659	1678087476659
REQUEST	18		LoadNewComputerPage	1678087476569	1678087476677	OK	 
REQUEST	121		LoadHomePage	1678087476261	1678087476707	OK	 
USER	MyComputerJourney	130	START	1678087476708	1678087476708
REQUEST	19		LoadNewComputerPage	1678087476618	1678087476727	OK	 
USER	MyComputerJourney	131	START	1678087476758	1678087476758
REQUEST	122		LoadHomePage	1678087476311	1678087476765	OK	 
REQUEST	20		LoadNewComputerPage	1678087476669	1678087476777	OK	 
REQUEST	123		LoadHomePage	1678087476359	1678087476786	OK	 
USER	MyComputerJourney	132	START	1678087476809	1678087476809
REQUEST	21		LoadNewComputerPage	1678087476708	1678087476814	OK	 
USER	MyComputerJourney	133	START	1678087476858	1678087476858
REQUEST	22		LoadNewComputerPage	1678087476779	1678087476892	OK	 
REQUEST	124		LoadHomePage	1678087476409	1678087476893	OK	 
USER	MyComputerJourney	134	START	1678087476908	1678087476908
REQUEST	125		LoadHomePage	1678087476459	1678087476909	OK	 
REQUEST	23		LoadNewComputerPage	1678087476839	1678087476952	OK	 
REQUEST	126		LoadHomePage	1678087476509	1678087476953	OK	 
USER	MyComputerJourney	135	START	1678087476959	1678087476959
REQUEST	2		FilterComputer	1678087476830	1678087476939	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	1		FilterComputer	1678087476830	1678087476939	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	24		LoadNewComputerPage	1678087476858	1678087476967	OK	 
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087476970
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087476970
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087476977
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087476977
USER	MyComputerJourney	2	END	1678087460568	1678087476981
USER	MyComputerJourney	1	END	1678087460558	1678087476981
REQUEST	127		LoadHomePage	1678087476559	1678087477003	OK	 
USER	MyComputerJourney	136	START	1678087477008	1678087477008
REQUEST	25		LoadNewComputerPage	1678087476909	1678087477016	OK	 
REQUEST	128		LoadHomePage	1678087476609	1678087477047	OK	 
USER	MyComputerJourney	137	START	1678087477058	1678087477058
REQUEST	26		LoadNewComputerPage	1678087476969	1678087477093	OK	 
REQUEST	129		LoadHomePage	1678087476659	1678087477101	OK	 
USER	MyComputerJourney	138	START	1678087477108	1678087477108
REQUEST	27		LoadNewComputerPage	1678087477009	1678087477118	OK	 
REQUEST	130		LoadHomePage	1678087476709	1678087477141	OK	 
USER	MyComputerJourney	139	START	1678087477159	1678087477159
REQUEST	28		LoadNewComputerPage	1678087477059	1678087477167	OK	 
REQUEST	131		LoadHomePage	1678087476759	1678087477191	OK	 
USER	MyComputerJourney	140	START	1678087477209	1678087477209
REQUEST	29		LoadNewComputerPage	1678087477109	1678087477219	OK	 
USER	MyComputerJourney	141	START	1678087477258	1678087477258
REQUEST	132		LoadHomePage	1678087476811	1678087477265	OK	 
USER	MyComputerJourney	142	START	1678087477309	1678087477309
REQUEST	30		LoadNewComputerPage	1678087477200	1678087477314	OK	 
REQUEST	31		LoadNewComputerPage	1678087477209	1678087477316	OK	 
REQUEST	133		LoadHomePage	1678087476859	1678087477325	OK	 
REQUEST	134		LoadHomePage	1678087476909	1678087477358	OK	 
USER	MyComputerJourney	143	START	1678087477359	1678087477359
REQUEST	32		LoadNewComputerPage	1678087477269	1678087477380	OK	 
REQUEST	135		LoadHomePage	1678087476960	1678087477397	OK	 
USER	MyComputerJourney	144	START	1678087477409	1678087477409
REQUEST	33		LoadNewComputerPage	1678087477319	1678087477430	OK	 
USER	MyComputerJourney	145	START	1678087477459	1678087477459
REQUEST	136		LoadHomePage	1678087477009	1678087477460	OK	 
REQUEST	34		LoadNewComputerPage	1678087477359	1678087477469	OK	 
REQUEST	137		LoadHomePage	1678087477060	1678087477490	OK	 
USER	MyComputerJourney	146	START	1678087477508	1678087477508
REQUEST	35		LoadNewComputerPage	1678087477409	1678087477519	OK	 
USER	MyComputerJourney	147	START	1678087477559	1678087477559
REQUEST	138		LoadHomePage	1678087477112	1678087477563	OK	 
REQUEST	36		LoadNewComputerPage	1678087477460	1678087477570	OK	 
